Lotus,104.5,21.3
Mercedes,78.8,17.2
Caterham,32,7.2
Red Bull,116.5,29.2
Ferrari,85,22.1
arussia,26,6.8
Force India,35.5,9.3
Williams,24.2,8.3
Toro Rosso,21.8,8.5
McLaren,44,18.4
Sauber,25.8,10.8
